Metric,Median,CI_Lower,CI_Upper
proposed_acc,0.998871506275458,0.9980311382714636,0.999512456685422
proposed_f1,0.99867527672803,0.9976701869179863,0.9994207653886701
proposed_kappa,0.9982605773368142,0.9969562051760092,0.9992453420661448
proposed_js,0.00016004071787804213,3.9455807112337076e-05,0.0003687535030684488
proposed_maxdiff,0.00019621308741291088,4.905327185322772e-05,0.00039242617482587727
knn_acc,0.9605079961961392,0.9554905902945006,0.9659645413301047
knn_f1,0.9538275083771246,0.9484163927076015,0.9603081129880352
true_effect,0.23811977821055846,0.2361995182473693,0.2401252842913962
imp_effect,0.23811385072194752,0.23621757661873602,0.2401981682415281
bias,1.9236061310573538e-05,-3.818018720703545e-05,7.597673017989763e-05
bias_pct,0.01140269380311476,0.0005270960226730982,0.032105866445602815
