setting,max_depth,learning_rate,subsample,accuracy,macro_f1,delta_acc_pp
baseline,4,0.05,0.9,0.7826,0.772,0.0
depth3_lr0.04_sub0.72,3,0.04,0.72,0.7821,0.7695,-0.05
depth3_lr0.04_sub0.9,3,0.04,0.9,0.7818,0.7687,-0.08
depth3_lr0.04_sub1.0,3,0.04,1.0,0.7823,0.7695,-0.03
depth3_lr0.05_sub0.72,3,0.05,0.72,0.782,0.7701,-0.07
depth3_lr0.05_sub0.9,3,0.05,0.9,0.7813,0.7692,-0.13
depth3_lr0.05_sub1.0,3,0.05,1.0,0.7825,0.7696,-0.02
depth3_lr0.06_sub0.72,3,0.06,0.72,0.7831,0.7715,0.05
depth3_lr0.06_sub0.9,3,0.06,0.9,0.7815,0.7695,-0.11
depth3_lr0.06_sub1.0,3,0.06,1.0,0.7818,0.7689,-0.08
depth4_lr0.04_sub0.72,4,0.04,0.72,0.7826,0.772,0.0
depth4_lr0.04_sub0.9,4,0.04,0.9,0.7838,0.7728,0.11
depth4_lr0.04_sub1.0,4,0.04,1.0,0.782,0.7702,-0.07
depth4_lr0.05_sub0.72,4,0.05,0.72,0.7838,0.7735,0.11
depth4_lr0.05_sub0.9,4,0.05,0.9,0.7826,0.772,0.0
depth4_lr0.05_sub1.0,4,0.05,1.0,0.7815,0.7694,-0.11
depth4_lr0.06_sub0.72,4,0.06,0.72,0.7797,0.7692,-0.29
depth4_lr0.06_sub0.9,4,0.06,0.9,0.7813,0.7706,-0.13
depth4_lr0.06_sub1.0,4,0.06,1.0,0.7808,0.7691,-0.18
depth5_lr0.04_sub0.72,5,0.04,0.72,0.7843,0.7741,0.16
depth5_lr0.04_sub0.9,5,0.04,0.9,0.7823,0.7718,-0.03
depth5_lr0.04_sub1.0,5,0.04,1.0,0.7823,0.7709,-0.03
depth5_lr0.05_sub0.72,5,0.05,0.72,0.7826,0.7723,0.0
depth5_lr0.05_sub0.9,5,0.05,0.9,0.783,0.7727,0.03
depth5_lr0.05_sub1.0,5,0.05,1.0,0.7828,0.7718,0.02
depth5_lr0.06_sub0.72,5,0.06,0.72,0.7817,0.7712,-0.1
depth5_lr0.06_sub0.9,5,0.06,0.9,0.7821,0.7718,-0.05
depth5_lr0.06_sub1.0,5,0.06,1.0,0.7826,0.771,0.0
